recall,precision
1.0,0.1881866455078125
1.0,0.1882227056982149
1.0,0.18846671392611397
1.0,0.18875724651852507
1.0,0.18909569778624283
1.0,0.1895175197462104
1.0,0.1899651207765847
1.0,0.19042284449667393
1.0,0.19082042968420945
1.0,0.19117472291833518
1.0,0.19147499243135824
1.0,0.19174920598999248
1.0,0.19202686372730757
1.0,0.19229250038979262
1.0,0.1925849326845417
1.0,0.19287155276222118
1.0,0.1932013900432452
1.0,0.19351751119293695
1.0,0.19385514961306513
1.0,0.19416373518149552
1.0,0.19444996763459235
1.0,0.1947684824493062
1.0,0.1950462192958641
1.0,0.19533317084459242
1.0,0.19557150710419485
1.0,0.195852231672985
1.0,0.19609478170615904
1.0,0.19632942491611555
1.0,0.1965226936730376
1.0,0.19674197124830836
1.0,0.19690530993467356
1.0,0.1970981397694422
1.0,0.1972366575123876
1.0,0.19738660188891635
1.0,0.1975290406680577
1.0,0.19763420125581233
1.0,0.19777241659480146
1.0,0.1979136484762466
1.0,0.19801921908742784
1.0,0.1981224269046818
1.0,0.1982560143748426
1.0,0.1983633686227134
1.0,0.19846817762845576
1.0,0.19856830173895076
1.0,0.19866781574941406
1.0,0.19877027713086154
1.0,0.19887908004293037
1.0,0.19898907233627552
1.0,0.19905616135820944
1.0,0.1991729612705784
1.0,0.1992922241613341
1.0,0.19936846983257983
1.0,0.1994725515654975
1.0,0.19954588600768003
1.0,0.19965374428340807
1.0,0.19972541511620376
1.0,0.1997998347556706
1.0,0.19990364743967834
1.0,0.19996775207652306
1.0,0.20003910780146572
1.0,0.20010582458898324
1.0,0.20018016701969663
1.0,0.20025582922587304
1.0,0.20032485990416632
1.0,0.20039827977800326
1.0,0.20046505537771075
1.0,0.2005391215426392
1.0,0.20060164045973355
1.0,0.2006734493715226
1.0,0.20074095307508186
1.0,0.20081195351891754
1.0,0.20087736919543725
1.0,0.20094446450926134
1.0,0.20098303277107868
1.0,0.20105183745515834
1.0,0.20112160031890414
1.0,0.20118977058308546
1.0,0.20122752105467825
1.0,0.20130233435407863
1.0,0.20136642604844898
1.0,0.20139437622756365
1.0,0.201466388236223
1.0,0.2015018648503173
1.0,0.20157084226201286
1.0,0.20164023321867383
1.0,0.20167540465628403
1.0,0.20174541766519716
1.0,0.20178080921745106
1.0,0.20184997776862457
1.0,0.2018837536478743
1.0,0.20191625524359763
1.0,0.2019897437390586
1.0,0.20202485336876447
1.0,0.20209124575323809
1.0,0.2021285991472128
1.0,0.2021615478343542
1.0,0.2022344780842958
1.0,0.20227133154625124
1.0,0.20230727660617637
1.0,0.20238086555712764
1.0,0.20241943352028763
1.0,0.20245469269830152
1.0,0.2025245088647921
1.0,0.20256165294776232
1.0,0.20259770127530485
1.0,0.2026324677102825
1.0,0.20267261189063052
1.0,0.20273831985665466
1.0,0.20277461631630772
1.0,0.20280592318929155
1.0,0.20283946375836964
1.0,0.2028741278232937
1.0,0.20293681272722452
1.0,0.20297225239458871
1.0,0.20300826137928638
1.0,0.20304261174733865
1.0,0.2030773452865572
1.0,0.2031200819822128
1.0,0.20315911815577783
1.0,0.20319537946847413
1.0,0.20323165372784532
1.0,0.20326496304048652
1.0,0.203330683246198
1.0,0.20336439762661837
1.0,0.2033994277174944
1.0,0.20343633416145768
1.0,0.20347810305619538
1.0,0.20351354547596412
1.0,0.20354862697238907
1.0,0.20358390726594097
1.0,0.2036169586325376
1.0,0.20365375723816023
1.0,0.20368926088161296
1.0,0.2037242160305925
1.0,0.20375955722402225
1.0,0.20379958798321088
1.0,0.2038373884602883
1.0,0.203879509463663
1.0,0.20391621572714172
1.0,0.2039521857007279
1.0,0.2039936043519812
1.0,0.20402997667378034
1.0,0.20407330290536535
1.0,0.2041076393486032
1.0,0.2041440523505708
1.0,0.20417953936954644
1.0,0.20422311702576867
1.0,0.20426088684745164
1.0,0.20429867064231583
1.0,0.2043351518426098
1.0,0.2043714579259603
1.0,0.2044109766136473
1.0,0.20445314672949014
1.0,0.20448779948600326
1.0,0.20452472512792355
1.0,0.20456222960427198
1.0,0.20460031354463035
1.0,0.20463916622956896
1.0,0.20467935467096443
1.0,0.20471785981058474
1.0,0.20475675715561195
1.0,0.2047977475329046
1.0,0.20483176122245422
1.0,0.20487145814279928
1.0,0.20491211617169514
1.0,0.20495014129940056
1.0,0.20499215560617912
1.0,0.20503305092807672
1.0,0.20507945658017993
1.0,0.20511868099579494
1.0,0.20515867881633182
1.0,0.2052049516738521
1.0,0.20524707052738828
1.0,0.2052893965160893
1.0,0.20532718198399513
1.0,0.20536536132791722
1.0,0.20540887649411238
1.0,0.20544765663030823
1.0,0.2054874024486985
1.0,0.20552221644111074
1.0,0.20556275250409053
1.0,0.20560787480920556
1.0,0.20564539661454062
1.0,0.2056869341719163
1.0,0.20573192035549953
1.0,0.20577139477845607
1.0,0.2058137465047802
1.0,0.20585974266836676
1.0,0.20590499546440252
1.0,0.2059470200887266
1.0,0.20598887073292263
1.0,0.20603571010920188
1.0,0.2060787446309002
1.0,0.2061240937722843
1.0,0.20616601642128843
1.0,0.20621063778401175
1.0,0.2062527872751598
1.0,0.20629437888380572
1.0,0.20633100104841287
1.0,0.20637339161525012
1.0,0.20641599153485596
1.0,0.20645937708964393
1.0,0.2065050860228557
1.0,0.20654927775580936
1.0,0.20659694916926238
1.0,0.20664214198746708
1.0,0.2066881243290601
1.0,0.20673123933140192
1.0,0.20677706873474164
1.0,0.20682677230645102
1.0,0.20687206573863712
1.0,0.206924129496993
1.0,0.20697332489257142
1.0,0.20702428124728972
1.0,0.20707236535268547
1.0,0.20711950558677983
1.0,0.20716782727335506
1.0,0.2072152044065224
1.0,0.20726163567461284
1.0,0.20730711979126784
1.0,0.2073516554955278
1.0,0.20740124817818303
1.0,0.20745319094059203
1.0,0.20750011683880917
1.0,0.20754415340732202
1.0,0.20759636191569864
1.0,0.2076466544133122
1.0,0.20770085777159025
1.0,0.20775470057714318
1.0,0.20780215202729582
1.0,0.20785896668829582
1.0,0.20791113899984548
1.0,0.20796314268905486
1.0,0.2080196555776075
1.0,0.20807307873998035
1.0,0.2081329686845172
1.0,0.2081825453911171
1.0,0.20823624759396211
1.0,0.2082901729418123
1.0,0.20833845590754027
1.0,0.2083904779874568
1.0,0.20844487469964817
1.0,0.2085010622570944
1.0,0.20855257780771497
1.0,0.20861215602731578
1.0,0.20866882610273177
1.0,0.20872101332089749
1.0,0.20877617178793412
1.0,0.20883253811767186
1.0,0.208892079859154
1.0,0.20895165556306464
1.0,0.20900398436381987
1.0,0.20906106443210135
1.0,0.2091165997852258
1.0,0.20917492396003332
1.0,0.2092360415995114
1.0,0.20929265655183857
1.0,0.20934752534163706
1.0,0.2094103242080161
1.0,0.2094622901074514
1.0,0.2095186320894952
1.0,0.2095835123180846
1.0,0.20964407706422364
1.0,0.20970487491994158
